Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position
j-freemond-visuals-fire-in-the-sky-i-duvet-covers,J. Freemond Visuals Fire in the Sky I Duvet Covers,,DENY J. Freemond Visuals,Duvet Covers,"J. Freemond Visuals Fire in the Sky I Duvet Covers,Deny Designs,at:fire-in-the-sky-i,ar:j.-freemond-visuals,new-art,pc:black,pc:orange,sc:blue,sc:pink,st:photography,th:nature,bed-bath,duvet-cover,pmc:bed-bath,pro:duvet-cover,live,nonexclusive",TRUE,Material,Cotton,Size,Twin,Product,Duvet Cover Only,77290-dcttwi,81192.968,,0,deny,manual,179.0,179.0,TRUE,TRUE,77290-dcttwi,http://assets.denydesigns.com/web-assets/duvet/j-freemond-visuals-fire-in-the-sky-i-duvet-twin-whitebg.jpg,
j-freemond-visuals-fire-in-the-sky-i-duvet-covers,J. Freemond Visuals Fire in the Sky I Duvet Covers,,DENY J. Freemond Visuals,Duvet Covers,"J. Freemond Visuals Fire in the Sky I Duvet Covers,Deny Designs,at:fire-in-the-sky-i,ar:j.-freemond-visuals,new-art,pc:black,pc:orange,sc:blue,sc:pink,st:photography,th:nature,bed-bath,duvet-cover,pmc:bed-bath,pro:duvet-cover,live,nonexclusive",TRUE,Material,Cotton,Size,Twin XL,Product,Duvet Cover Only,77290-dctwxl,85728.888,,0,deny,manual,189.0,189.0,TRUE,TRUE,77290-dctwxl,http://assets.denydesigns.com/web-assets/duvet/j-freemond-visuals-fire-in-the-sky-i-duvet-twin-lifestyle-side.jpg,
j-freemond-visuals-fire-in-the-sky-i-duvet-covers,J. Freemond Visuals Fire in the Sky I Duvet Covers,,DENY J. Freemond Visuals,Duvet Covers,"J. Freemond Visuals Fire in the Sky I Duvet Covers,Deny Designs,at:fire-in-the-sky-i,ar:j.-freemond-visuals,new-art,pc:black,pc:orange,sc:blue,sc:pink,st:photography,th:nature,bed-bath,duvet-cover,pmc:bed-bath,pro:duvet-cover,live,nonexclusive",TRUE,Material,Cotton,Size,Full,Product,Duvet Cover Only,77290-dcfull,90264.808,,0,deny,manual,199.0,199.0,TRUE,TRUE,77290-dcfull,http://assets.denydesigns.com/web-assets/duvet/j-freemond-visuals-fire-in-the-sky-i-duvet-twin-lifestyle-front.jpg,
j-freemond-visuals-fire-in-the-sky-i-duvet-covers,J. Freemond Visuals Fire in the Sky I Duvet Covers,,DENY J. Freemond Visuals,Duvet Covers,"J. Freemond Visuals Fire in the Sky I Duvet Covers,Deny Designs,at:fire-in-the-sky-i,ar:j.-freemond-visuals,new-art,pc:black,pc:orange,sc:blue,sc:pink,st:photography,th:nature,bed-bath,duvet-cover,pmc:bed-bath,pro:duvet-cover,live,nonexclusive",TRUE,Material,Cotton,Size,Queen,Product,Duvet Cover Only,77290-dctqun,94800.728,,0,deny,manual,209.0,209.0,TRUE,TRUE,77290-dctqun,http://assets.denydesigns.com/web-assets/duvet/j-freemond-visuals-fire-in-the-sky-i-duvet-twinxl-whitebg.jpg,
j-freemond-visuals-fire-in-the-sky-i-duvet-covers,J. Freemond Visuals Fire in the Sky I Duvet Covers,,DENY J. Freemond Visuals,Duvet Covers,"J. Freemond Visuals Fire in the Sky I Duvet Covers,Deny Designs,at:fire-in-the-sky-i,ar:j.-freemond-visuals,new-art,pc:black,pc:orange,sc:blue,sc:pink,st:photography,th:nature,bed-bath,duvet-cover,pmc:bed-bath,pro:duvet-cover,live,nonexclusive",TRUE,Material,Cotton,Size,King,Product,Duvet Cover Only,77290-dctkin,112944.408,,0,deny,manual,249.0,249.0,TRUE,TRUE,77290-dctkin,http://assets.denydesigns.com/web-assets/duvet/j-freemond-visuals-fire-in-the-sky-i-duvet-twinxl-lifestyle-side.jpg,
j-freemond-visuals-fire-in-the-sky-i-duvet-covers,J. Freemond Visuals Fire in the Sky I Duvet Covers,,DENY J. Freemond Visuals,Duvet Covers,"J. Freemond Visuals Fire in the Sky I Duvet Covers,Deny Designs,at:fire-in-the-sky-i,ar:j.-freemond-visuals,new-art,pc:black,pc:orange,sc:blue,sc:pink,st:photography,th:nature,bed-bath,duvet-cover,pmc:bed-bath,pro:duvet-cover,live,nonexclusive",TRUE,Material,Polyester,Size,Twin,Product,Duvet Cover Only,77290-dwttwi,63049.288,,0,deny,manual,139.0,139.0,TRUE,TRUE,77290-dwttwi,http://assets.denydesigns.com/web-assets/duvet/j-freemond-visuals-fire-in-the-sky-i-duvet-twinxl-lifestyle-front.jpg,
j-freemond-visuals-fire-in-the-sky-i-duvet-covers,J. Freemond Visuals Fire in the Sky I Duvet Covers,,DENY J. Freemond Visuals,Duvet Covers,"J. Freemond Visuals Fire in the Sky I Duvet Covers,Deny Designs,at:fire-in-the-sky-i,ar:j.-freemond-visuals,new-art,pc:black,pc:orange,sc:blue,sc:pink,st:photography,th:nature,bed-bath,duvet-cover,pmc:bed-bath,pro:duvet-cover,live,nonexclusive",TRUE,Material,Polyester,Size,Twin XL,Product,Duvet Cover Only,77290-dwttxl,67585.208,,0,deny,manual,149.0,149.0,TRUE,TRUE,77290-dwttxl,http://assets.denydesigns.com/web-assets/duvet/j-freemond-visuals-fire-in-the-sky-i-duvet-full-whitebg.jpg,
j-freemond-visuals-fire-in-the-sky-i-duvet-covers,J. Freemond Visuals Fire in the Sky I Duvet Covers,,DENY J. Freemond Visuals,Duvet Covers,"J. Freemond Visuals Fire in the Sky I Duvet Covers,Deny Designs,at:fire-in-the-sky-i,ar:j.-freemond-visuals,new-art,pc:black,pc:orange,sc:blue,sc:pink,st:photography,th:nature,bed-bath,duvet-cover,pmc:bed-bath,pro:duvet-cover,live,nonexclusive",TRUE,Material,Polyester,Size,Full,Product,Duvet Cover Only,77290-dwtful,72121.128,,0,deny,manual,159.0,159.0,TRUE,TRUE,77290-dwtful,http://assets.denydesigns.com/web-assets/duvet/j-freemond-visuals-fire-in-the-sky-i-duvet-full-lifestyle-side.jpg,
j-freemond-visuals-fire-in-the-sky-i-duvet-covers,J. Freemond Visuals Fire in the Sky I Duvet Covers,,DENY J. Freemond Visuals,Duvet Covers,"J. Freemond Visuals Fire in the Sky I Duvet Covers,Deny Designs,at:fire-in-the-sky-i,ar:j.-freemond-visuals,new-art,pc:black,pc:orange,sc:blue,sc:pink,st:photography,th:nature,bed-bath,duvet-cover,pmc:bed-bath,pro:duvet-cover,live,nonexclusive",TRUE,Material,Polyester,Size,Queen,Product,Duvet Cover Only,77290-dwtqun,76657.048,,0,deny,manual,169.0,169.0,TRUE,TRUE,77290-dwtqun,http://assets.denydesigns.com/web-assets/duvet/j-freemond-visuals-fire-in-the-sky-i-duvet-full-lifestyle-front.jpg,
j-freemond-visuals-fire-in-the-sky-i-duvet-covers,J. Freemond Visuals Fire in the Sky I Duvet Covers,,DENY J. Freemond Visuals,Duvet Covers,"J. Freemond Visuals Fire in the Sky I Duvet Covers,Deny Designs,at:fire-in-the-sky-i,ar:j.-freemond-visuals,new-art,pc:black,pc:orange,sc:blue,sc:pink,st:photography,th:nature,bed-bath,duvet-cover,pmc:bed-bath,pro:duvet-cover,live,nonexclusive",TRUE,Material,Polyester,Size,King,Product,Duvet Cover Only,77290-dwtkin,85728.888,,0,deny,manual,189.0,189.0,TRUE,TRUE,77290-dwtkin,http://assets.denydesigns.com/web-assets/duvet/j-freemond-visuals-fire-in-the-sky-i-duvet-queen-whitebg.jpg,
